Zeitraum;kWh;Euro;kgCO2;Status
13.10.2022 19:30 - 19:45;1590,000;0,00;853,830;Ersatzwert
13.10.2022 19:45 - 20:00;1673,000;0,00;898,401;Ersatzwert
13.10.2022 20:00 - 20:15;1658,000;0,00;890,346;Ersatzwert
13.10.2022 20:15 - 20:30;1695,000;0,00;910,215;Ersatzwert
13.10.2022 20:30 - 20:45;1668,000;0,00;895,716;Ersatzwert
13.10.2022 20:45 - 21:00;1625,000;0,00;872,625;Ersatzwert
13.10.2022 21:00 - 21:15;1632,000;0,00;876,384;Ersatzwert
13.10.2022 21:15 - 21:30;1655,000;0,00;888,735;Ersatzwert
13.10.2022 21:30 - 21:45;1717,000;0,00;922,029;Ersatzwert
13.10.2022 21:45 - 22:00;1683,000;0,00;903,771;Ersatzwert
13.10.2022 22:00 - 22:15;1659,000;0,00;890,883;Ersatzwert
13.10.2022 22:15 - 22:30;1669,000;0,00;896,253;Ersatzwert
13.10.2022 22:30 - 22:45;1700,000;0,00;912,900;Ersatzwert
13.10.2022 22:45 - 23:00;1698,000;0,00;911,826;Ersatzwert
13.10.2022 23:00 - 23:15;1615,000;0,00;867,255;Ersatzwert
13.10.2022 23:15 - 23:30;1791,000;0,00;961,767;Ersatzwert
13.10.2022 23:30 - 23:45;1823,000;0,00;978,951;Ersatzwert
13.10.2022 23:45 - 00:00;1683,000;0,00;903,771;Ersatzwert
14.10.2022 00:00 - 00:15;1609,000;0,00;864,033;Ersatzwert
14.10.2022 00:15 - 00:30;1582,000;0,00;849,534;Ersatzwert
14.10.2022 00:30 - 00:45;1580,000;0,00;848,460;Ersatzwert
14.10.2022 00:45 - 01:00;1736,000;0,00;932,232;Ersatzwert
14.10.2022 01:00 - 01:15;1611,000;0,00;865,107;Ersatzwert
14.10.2022 01:15 - 01:30;1529,000;0,00;821,073;Ersatzwert
14.10.2022 01:30 - 01:45;1572,000;0,00;844,164;Ersatzwert
14.10.2022 01:45 - 02:00;1712,000;0,00;919,344;Ersatzwert
14.10.2022 02:00 - 02:15;1739,000;0,00;933,843;Ersatzwert
14.10.2022 02:15 - 02:30;1632,000;0,00;876,384;Ersatzwert
14.10.2022 02:30 - 02:45;1592,000;0,00;854,904;Ersatzwert
14.10.2022 02:45 - 03:00;1647,000;0,00;884,439;Ersatzwert
14.10.2022 03:00 - 03:15;1499,000;0,00;804,963;Ersatzwert
14.10.2022 03:15 - 03:30;1410,000;0,00;757,170;Ersatzwert
14.10.2022 03:30 - 03:45;1418,000;0,00;761,466;Ersatzwert
14.10.2022 03:45 - 04:00;1594,000;0,00;855,978;Ersatzwert
14.10.2022 04:00 - 04:15;1676,000;0,00;900,012;Ersatzwert
14.10.2022 04:15 - 04:30;1629,000;0,00;874,773;Ersatzwert
14.10.2022 04:30 - 04:45;1475,000;0,00;792,075;Ersatzwert
14.10.2022 04:45 - 05:00;1471,000;0,00;789,927;Ersatzwert
14.10.2022 05:00 - 05:15;1518,000;0,00;815,166;Ersatzwert
14.10.2022 05:15 - 05:30;2153,000;0,00;1156,161;Ersatzwert
14.10.2022 05:30 - 05:45;2117,000;0,00;1136,829;Ersatzwert
14.10.2022 05:45 - 06:00;1902,000;0,00;1021,374;Ersatzwert
14.10.2022 06:00 - 06:15;1838,000;0,00;987,006;Ersatzwert
14.10.2022 06:15 - 06:30;1730,000;0,00;929,010;Ersatzwert
14.10.2022 06:30 - 06:45;1736,000;0,00;932,232;Ersatzwert
14.10.2022 06:45 - 07:00;1768,000;0,00;949,416;Ersatzwert
14.10.2022 07:00 - 07:15;1788,000;0,00;960,156;Ersatzwert
14.10.2022 07:15 - 07:30;1918,000;0,00;1029,966;Ersatzwert
14.10.2022 07:30 - 07:45;2153,000;0,00;1156,161;Ersatzwert
14.10.2022 07:45 - 08:00;2222,000;0,00;1193,214;Ersatzwert
14.10.2022 08:00 - 08:15;2502,000;0,00;1343,574;Ersatzwert
14.10.2022 08:15 - 08:30;2567,000;0,00;1378,479;Ersatzwert
14.10.2022 08:30 - 08:45;2369,000;0,00;1272,153;Ersatzwert
14.10.2022 08:45 - 09:00;2408,000;0,00;1293,096;Ersatzwert
14.10.2022 09:00 - 09:15;2343,000;0,00;1258,191;Ersatzwert
14.10.2022 09:15 - 09:30;2912,000;0,00;1563,744;Ersatzwert
14.10.2022 09:30 - 09:45;2560,000;0,00;1374,720;Ersatzwert
14.10.2022 09:45 - 10:00;2823,000;0,00;1515,951;Ersatzwert
14.10.2022 10:00 - 10:15;2956,000;0,00;1587,372;Ersatzwert
14.10.2022 10:15 - 10:30;2859,000;0,00;1535,283;Ersatzwert
14.10.2022 10:30 - 10:45;2453,000;0,00;1317,261;Ersatzwert
14.10.2022 10:45 - 11:00;2210,000;0,00;1186,770;Ersatzwert
14.10.2022 11:00 - 11:15;2201,000;0,00;1181,937;Ersatzwert
14.10.2022 11:15 - 11:30;2293,000;0,00;1231,341;Ersatzwert
14.10.2022 11:30 - 11:45;2297,000;0,00;1233,489;Ersatzwert
14.10.2022 11:45 - 12:00;2225,000;0,00;1194,825;Ersatzwert
14.10.2022 12:00 - 12:15;2044,000;0,00;1097,628;Ersatzwert
14.10.2022 12:15 - 12:30;2005,000;0,00;1076,685;Ersatzwert
14.10.2022 12:30 - 12:45;2147,000;0,00;1152,939;Ersatzwert
14.10.2022 12:45 - 13:00;2246,000;0,00;1206,102;Ersatzwert
14.10.2022 13:00 - 13:15;2027,000;0,00;1088,499;Ersatzwert
14.10.2022 13:15 - 13:30;1888,000;0,00;1013,856;Ersatzwert
14.10.2022 13:30 - 13:45;2084,000;0,00;1119,108;Ersatzwert
14.10.2022 13:45 - 14:00;1892,000;0,00;1016,004;Ersatzwert
14.10.2022 14:00 - 14:15;1848,000;0,00;992,376;Ersatzwert
14.10.2022 14:15 - 14:30;2015,000;0,00;1082,055;Ersatzwert
14.10.2022 14:30 - 14:45;1953,000;0,00;1048,761;Ersatzwert
14.10.2022 14:45 - 15:00;1898,000;0,00;1019,226;Ersatzwert
14.10.2022 15:00 - 15:15;1940,000;0,00;1041,780;Ersatzwert
14.10.2022 15:15 - 15:30;2180,000;0,00;1170,660;Ersatzwert
14.10.2022 15:30 - 15:45;1981,000;0,00;1063,797;Ersatzwert
14.10.2022 15:45 - 16:00;1965,000;0,00;1055,205;Ersatzwert
14.10.2022 16:00 - 16:15;1863,000;0,00;1000,431;Ersatzwert
14.10.2022 16:15 - 16:30;2052,000;0,00;1101,924;Ersatzwert
14.10.2022 16:30 - 16:45;2221,000;0,00;1192,677;Ersatzwert
14.10.2022 16:45 - 17:00;2081,000;0,00;1117,497;Ersatzwert
14.10.2022 17:00 - 17:15;2427,000;0,00;1303,299;Ersatzwert
14.10.2022 17:15 - 17:30;2304,000;0,00;1237,248;Ersatzwert
